Term,TF,DF,IDF,TF-IDF,Total Sentimen Positive,Total Sentimen Negative
cemburu,1,2,1.4771212547196624,1.4771212547196624,0,1
suami,1,4,1.1760912590556813,1.1760912590556813,0,2
nekat,1,4,1.1760912590556813,1.1760912590556813,0,2
aniaya,1,4,1.1760912590556813,1.1760912590556813,0,2
istri,1,4,1.1760912590556813,1.1760912590556813,0,2
tewas,1,8,0.8750612633917001,0.8750612633917001,0,4
kaca,1,2,1.4771212547196624,1.4771212547196624,0,1
celaka,1,5,1.0791812460476249,1.0791812460476249,0,2
api,1,4,1.1760912590556813,1.1760912590556813,0,2
kendara,1,2,1.4771212547196624,1.4771212547196624,0,1
mogok,1,2,1.4771212547196624,1.4771212547196624,0,1
rel,1,2,1.4771212547196624,1.4771212547196624,0,1
sinau,1,2,1.4771212547196624,1.4771212547196624,0,1
tangki,1,4,1.1760912590556813,1.1760912590556813,0,2
maut,1,3,1.3010299956639813,1.3010299956639813,0,1
jadi,1,3,1.3010299956639813,1.3010299956639813,0,1
sangka,1,3,1.3010299956639813,1.3010299956639813,0,1
edukasi,1,3,1.3010299956639813,1.3010299956639813,1,0
sehat,1,4,1.1760912590556813,1.1760912590556813,2,0
paguyuban,1,2,1.4771212547196624,1.4771212547196624,1,0
gelar,1,2,1.4771212547196624,1.4771212547196624,1,0
kemarau,1,4,1.1760912590556813,1.1760912590556813,0,2
ganggu,1,2,1.4771212547196624,1.4771212547196624,0,1
rakit,1,2,1.4771212547196624,1.4771212547196624,0,1
jual,1,4,1.1760912590556813,1.1760912590556813,0,2
senjata,1,2,1.4771212547196624,1.4771212547196624,0,1
ilegal,1,6,1,1,0,3
harga,1,2,1.4771212547196624,1.4771212547196624,0,1
naik,1,6,1,1,1,2
tengkar,1,2,1.4771212547196624,1.4771212547196624,0,1
duga,1,2,1.4771212547196624,1.4771212547196624,0,1
keren,1,3,1.3010299956639813,1.3010299956639813,1,0
rawat,1,2,1.4771212547196624,1.4771212547196624,1,0
budaya,1,2,1.4771212547196624,1.4771212547196624,1,0
pamer,1,2,1.4771212547196624,1.4771212547196624,1,0
keris,1,2,1.4771212547196624,1.4771212547196624,1,0
krisis,1,2,1.4771212547196624,1.4771212547196624,0,1
bersih,2,4,1.1760912590556813,2.3521825181113627,1,1
salur,1,2,1.4771212547196624,1.4771212547196624,0,1
bantu,1,2,1.4771212547196624,1.4771212547196624,0,1
dampak,1,2,1.4771212547196624,1.4771212547196624,0,1
seru,1,2,1.4771212547196624,1.4771212547196624,1,0
estafet,1,2,1.4771212547196624,1.4771212547196624,1,0
tangkap,1,6,1,1,2,1
mata,1,2,1.4771212547196624,1.4771212547196624,1,0
tutup,1,2,1.4771212547196624,1.4771212547196624,1,0
optimis,1,2,1.4771212547196624,1.4771212547196624,1,0
investasi,1,4,1.1760912590556813,1.1760912590556813,2,0
aman,1,2,1.4771212547196624,1.4771212547196624,1,0
tani,1,4,1.1760912590556813,1.1760912590556813,2,0
basmi,1,2,1.4771212547196624,1.4771212547196624,1,0
hama,1,2,1.4771212547196624,1.4771212547196624,1,0
tikus,1,4,1.1760912590556813,1.1760912590556813,2,0
