Term,TF,DF,IDF,TF-IDF,Total Dokumen Sentimen Positive,Total Sentimen Negative
ikhtiar,1,1,3.22994,3.22994,1,0
hadap,1,13,2.11599,2.11599,7,6
kemarau,1,10,2.22994,2.22994,5,5
gelar,1,62,1.43755,1.43755,51,11
minta,1,34,1.69846,1.69846,8,26
hujan,1,10,2.22994,2.22994,4,6
panas,1,9,2.27570,2.2757,1,8
bikin,1,5,2.53097,2.53097,2,3
manfaat,1,3,2.75282,2.75282,2,1
cahaya,1,1,3.22994,3.22994,0,1
matahari,1,1,3.22994,3.22994,0,1
asak,1,1,3.22994,3.22994,0,1
nyata,1,10,2.22994,2.22994,2,8
matang,1,1,3.22994,3.22994,0,1
tewas,1,59,1.45909,1.45909,0,59
nilai,1,3,2.75282,2.75282,2,1
menang,1,19,1.95118,1.95118,13,6
mahal,1,13,2.11599,2.11599,0,13
hilang,1,4,2.62788,2.62788,0,4
edar,1,7,2.38484,2.38484,0,7
siasat,1,1,3.22994,3.22994,0,1
temu,1,48,1.54870,1.5487,8,40
serah,1,13,2.11599,2.11599,4,9
uang,1,12,2.15076,2.15076,5,7
ketua,1,14,2.08381,2.08381,2,12
periksa,1,22,1.88752,1.88752,2,20
kait,1,6,2.45179,2.45179,0,6
peras,1,8,2.32685,2.32685,0,8
pimpin,1,15,2.05385,2.05385,5,10
peran,1,2,2.92891,2.92891,0,2
usul,1,2,2.92891,2.92891,2,0
pilih,1,10,2.22994,2.22994,8,2
sepakat,1,2,2.92891,2.92891,2,0
indra,1,14,2.08381,2.08381,8,6
damping,1,4,2.62788,2.62788,3,1
metro,1,4,2.62788,2.62788,0,4
saksi,1,17,1.99949,1.99949,1,16
duga,1,35,1.68587,1.68587,0,35
fakta,1,5,2.53097,2.53097,1,4
pernah,1,5,2.53097,2.53097,2,3
kasus,1,50,1.53097,1.53097,0,50
lompat,1,3,2.75282,2.75282,0,3
buka,1,43,1.59647,1.59647,36,7
relawan,1,10,2.22994,2.22994,10,0
juang,1,1,3.22994,3.22994,1,0
dukung,1,18,1.97467,1.97467,17,1
aman,1,25,1.83200,1.832,20,5
